rjd	vrad	svrad	rhk	sig_rhk
--------------------------------------------
53692.7333	31335.5	0.2	-5.0151	0.001
53693.6377	31335.7	0.2	-5.0225	0.0013
53694.7298	31337.0	0.3	-5.0151	0.0013
53695.6997	31338.3	0.2	-5.0016	0.0008
53696.7069	31337.5	0.2	-5.0112	0.0009
53697.7323	31333.0	0.4	-5.0295	0.0035
53698.7371	31330.9	0.3	-5.0104	0.0015
53699.7361	31331.2	0.3	-5.0043	0.0011
53700.7686	31331.1	0.2	-4.9999	0.001
53721.7446	31333.9	0.2	-5.0047	0.0009
53722.7439	31335.100000000002	0.2	-5.0047	0.0009
53724.7067	31332.6	0.2	-5.0015	0.0008
53725.7143	31334.3	0.2	-4.9923	0.0008
53726.7106	31333.600000000002	0.2	-4.9866	0.0008
53727.6892	31330.4	0.2	-4.9859	0.0008
53728.7664	31327.8	0.3	-4.9869	0.0009
53729.7554	31332.100000000002	0.2	-4.9892	0.0008
53757.5916	31332.100000000002	0.3	-4.9902	0.0016
53758.5762	31328.600000000002	0.3	-4.9954	0.0015
53759.5854	31330.5	0.3	-4.9949	0.0014
53760.6669	31333.9	0.4	-4.9992	0.002
53761.6032	31333.100000000002	0.3	-4.9991	0.0015
53762.5932	31332.3	0.4	-4.9949	0.002
53763.5947	31330.4	0.3	-4.997	0.0013
53764.6167	31331.7	0.3	-4.9947	0.0011
53765.6021	31330.2	0.3	-4.9937	0.0012
53782.559	31336.600000000002	0.3	-4.9953	0.0015
53784.5865	31328.3	0.4	-4.9871	0.0019
53786.6115	31329.7	0.3	-4.9825	0.0015
53788.6003	31329.0	0.3	-4.9817	0.0016
53790.5911	31335.7	0.3	-4.9768	0.0014
53810.5838	31333.5	0.3	-4.9811	0.0015
53811.5846	31335.8	0.3	-4.9799	0.001
53812.559	31336.9	0.4	-4.9833	0.0018
53814.6012	31330.4	0.3	-4.9867	0.0016
53817.5938	31336.8	0.4	-4.9865	0.0018
53829.5208	31337.2	0.4	-4.9881	0.0028
53831.5178	31333.2	0.3	-4.9903	0.0017
53835.52	31334.5	0.4	-4.9913	0.0024
53861.4619	31335.0	0.4	-4.9795	0.002
53862.4676	31330.8	0.3	-4.9811	0.0016
53863.4623	31330.100000000002	0.3	-4.9867	0.0015
53864.4569	31333.100000000002	0.4	-4.9817	0.002
53865.4551	31330.300000000003	0.3	-4.986	0.0013
53866.4564	31330.600000000002	0.3	-4.9851	0.0014
53867.4745	31332.6	0.3	-4.9909	0.0015
53868.455	31335.8	0.4	-4.9882	0.0017
53869.4563	31334.3	0.3	-4.9886	0.0013
53870.4549	31331.600000000002	0.4	-4.9981	0.0021
53871.4559	31330.5	0.4	-4.9939	0.0017
53882.4655	31336.300000000003	0.5	-4.96	0.0032
53974.9226	31335.100000000002	0.5	-4.9893	0.0027
53980.9124	31337.6	0.4	-4.9772	0.002
53981.9228	31336.4	0.4	-4.9658	0.0025
54047.8047	31329.4	0.4	-4.9978	0.002
54049.8006	31334.800000000003	0.4	-4.9954	0.0018
54051.8153	31332.7	0.5	-5.0094	0.0026
54053.8252	31332.4	0.4	-4.9912	0.0016
54055.8301	31329.2	0.4	-5.0001	0.0017
54077.7374	31331.0	0.3	-4.9863	0.0015
54079.7067	31340.399999999998	0.4	-4.9953	0.0021
54081.7148	31335.7	0.5	-5.0027	0.003
54083.7635	31337.7	0.5	-5.0039	0.0033
54115.6153	31331.800000000003	0.7	-4.9927	0.0063
54120.6782	31335.0	0.4	-4.9859	0.0018
54121.6436	31334.399999999998	0.4	-4.9846	0.002
54136.6111	31335.4	0.3	-4.9942	0.0014
