run_time	logZ	logZerr	log10Z	nlive	prec	eprv_jitter	drift1_v0
16.55381	-488.48585	 0.44112	-212.14671	50	 0.01000	 2.10006	-0.77165
19.45528	-488.56974	 0.45456	-212.18314	50	 0.01000	 2.10146	-0.73748
17.52046	-488.50429	 0.43486	-212.15472	50	 0.01000	 2.09710	-0.75315
29.66170	-487.72129	 0.43388	-211.81467	50	 0.01000	 2.08051	-0.71080
15.02690	-487.86322	 0.43646	-211.87630	50	 0.01000	 2.08929	-0.72285
17.34127	-487.23499	 0.42097	-211.60347	50	 0.01000	 2.10053	-0.74884
28.18144	-487.76179	 0.48527	-211.83225	50	 0.01000	 2.09548	-0.71577
19.68613	-488.35776	 0.44168	-212.09108	50	 0.01000	 2.09531	-0.71322
31.66362	-486.82856	 0.42747	-211.42696	50	 0.01000	 2.09403	-0.70572
26.22647	-486.98076	 0.54075	-211.49306	50	 0.01000	 2.09790	-0.73351
19.40791	-487.12593	 0.42230	-211.55610	50	 0.01000	 2.09165	-0.72264
36.24355	-488.20702	 0.43529	-212.02561	50	 0.01000	 2.09688	-0.73209
16.65209	-488.47524	 0.44702	-212.14210	50	 0.01000	 2.09546	-0.71997
16.72179	-487.51483	 0.49257	-211.72500	50	 0.01000	 2.08765	-0.69114
25.30668	-488.13278	 0.42939	-211.99337	50	 0.01000	 2.09360	-0.71325
20.90175	-486.85756	 0.56039	-211.43955	50	 0.01000	 2.09225	-0.70511
29.62307	-487.67164	 0.44743	-211.79310	50	 0.01000	 2.09618	-0.67369
20.62192	-487.60808	 0.42093	-211.76550	50	 0.01000	 2.10303	-0.70551
22.21530	-487.76283	 0.42626	-211.83271	50	 0.01000	 2.10527	-0.72300
20.40878	-488.02755	 0.44467	-211.94767	50	 0.01000	 2.09199	-0.71986
24.70813	-486.82210	 0.39629	-211.42415	50	 0.01000	 2.08494	-0.71678
24.29441	-487.97321	 0.69742	-211.92407	50	 0.01000	 2.09632	-0.71987
14.99135	-487.45297	 0.43985	-211.69813	50	 0.01000	 2.09235	-0.71271
22.21583	-487.04948	 0.46172	-211.52290	50	 0.01000	 2.09187	-0.69896
20.62023	-487.79290	 0.48023	-211.84576	50	 0.01000	 2.08872	-0.71614
19.51247	-488.45570	 0.49292	-212.13361	50	 0.01000	 2.09447	-0.70372
24.15476	-487.63687	 0.44981	-211.77800	50	 0.01000	 2.08858	-0.70625
27.02021	-488.25809	 0.44254	-212.04780	50	 0.01000	 2.10007	-0.75509
15.81619	-488.24336	 0.44353	-212.04140	50	 0.01000	 2.09154	-0.71873
20.18678	-487.87632	 0.43462	-211.88199	50	 0.01000	 2.08991	-0.70188
21.57868	-489.02603	 0.45835	-212.38130	50	 0.01000	 2.08880	-0.70998
16.64574	-487.99672	 0.43688	-211.93428	50	 0.01000	 2.09266	-0.74320
19.71230	-487.48248	 0.42078	-211.71095	50	 0.01000	 2.09135	-0.72402
17.83783	-488.51516	 0.44426	-212.15944	50	 0.01000	 2.09316	-0.71680
15.69121	-488.26757	 0.44484	-212.05191	50	 0.01000	 2.09313	-0.74377
22.46609	-486.77350	 0.63039	-211.40305	50	 0.01000	 2.09368	-0.71665
31.08235	-488.03211	 0.44043	-211.94965	50	 0.01000	 2.08589	-0.71515
21.02294	-487.39446	 0.41768	-211.67272	50	 0.01000	 2.08369	-0.72209
21.29583	-488.38124	 0.41830	-212.10128	50	 0.01000	 2.09575	-0.71332
19.90223	-487.14040	 0.60913	-211.56239	50	 0.01000	 2.09190	-0.73153
25.54629	-487.90471	 0.53605	-211.89433	50	 0.01000	 2.08891	-0.74816
23.78796	-488.26576	 0.47606	-212.05113	50	 0.01000	 2.08823	-0.71861
28.97170	-488.41995	 0.98359	-212.11809	50	 0.01000	 2.08890	-0.71109
15.08938	-487.58624	 0.42590	-211.75601	50	 0.01000	 2.09277	-0.72864
36.89432	-487.53891	 0.45471	-211.73546	50	 0.01000	 2.09010	-0.72969
16.72977	-487.95640	 0.43404	-211.91677	50	 0.01000	 2.09443	-0.70599
16.63902	-488.46583	 0.47472	-212.13801	50	 0.01000	 2.09213	-0.73015
21.92413	-487.60745	 0.49003	-211.76523	50	 0.01000	 2.09777	-0.69251
20.79294	-488.45958	 0.44616	-212.13530	50	 0.01000	 2.08853	-0.71755
33.95835	-487.49895	 0.41173	-211.71810	50	 0.01000	 2.08884	-0.72168
14.89232	-488.13824	 0.44075	-211.99574	50	 0.01000	 2.09077	-0.72871
24.80380	-487.80974	 0.43290	-211.85308	50	 0.01000	 2.09722	-0.70210
42.29283	-487.43265	 0.43922	-211.68931	50	 0.01000	 2.08879	-0.71074
 4.36807	-487.62174	 0.92331	-211.77143	10	 0.01000	 2.09061	-0.71602
 4.84638	-486.26952	 0.82139	-211.18417	10	 0.01000	 2.09677	-0.71978
