# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecc planet1_omega planet1_ma0
2.95977557e+02 -4.47296352e+02 3.88258625e-01 -1.94258338e+02 1.75000000e+02 1.00000000e-02 1.57937634e+00 -5.58278689e-01 2.26887540e+00 4.21234402e+01 2.54486209e-01 2.00098872e+00 1.87916692e+00
2.98391420e+02 -4.47283169e+02 3.69873552e-01 -1.94252612e+02 1.75000000e+02 1.00000000e-02 1.50043001e+00 -5.58348094e-01 2.28566767e+00 4.20727970e+01 2.45832172e-01 4.01786438e+00 4.28421042e+00
3.41524166e+02 -4.47512458e+02 3.91194133e-01 -1.94352191e+02 1.75000000e+02 1.00000000e-02 1.61496676e+00 -6.26301863e-01 2.31192143e+00 4.21029132e+01 2.53949755e-01 4.09162576e+00 3.90405226e+00
2.94880205e+02 -4.46852276e+02 3.76474760e-01 -1.94065478e+02 1.75000000e+02 1.00000000e-02 1.57247026e+00 -6.07114409e-01 2.34585699e+00 4.21236487e+01 2.52585842e-01 1.50356633e+00 1.78006741e+00
2.89120441e+02 -4.46346154e+02 3.74166276e-01 -1.93845672e+02 1.75000000e+02 1.00000000e-02 1.57656479e+00 -4.78864586e-01 2.36659571e+00 4.21352986e+01 2.69105891e-01 1.10715985e+00 1.62885160e+00
3.12739333e+02 -4.47963598e+02 3.83738587e-01 -1.94548119e+02 1.75000000e+02 1.00000000e-02 1.57498940e+00 -5.65550989e-01 2.28762102e+00 4.21081020e+01 2.40444118e-01 3.46013266e+00 3.48244569e+00
3.42445866e+02 -4.47470907e+02 3.84900159e-01 -1.94334146e+02 1.75000000e+02 1.00000000e-02 1.58950070e+00 -6.87272078e-01 2.32151081e+00 4.21194819e+01 2.51608311e-01 3.12252121e+00 2.64009938e+00
3.24046740e+02 -4.47300427e+02 3.83378103e-01 -1.94260107e+02 1.75000000e+02 1.00000000e-02 1.59940419e+00 -6.26762493e-01 2.31314870e+00 4.21068135e+01 2.46596376e-01 3.94518228e+00 3.58878271e+00
3.11979543e+02 -4.45136202e+02 3.73626355e-01 -1.93320196e+02 1.75000000e+02 1.00000000e-02 1.48498162e+00 -5.56646704e-01 2.33200531e+00 4.20983328e+01 2.49360756e-01 3.92518330e+00 3.72357157e+00
3.14676971e+02 -4.47539728e+02 3.85056123e-01 -1.94364034e+02 1.75000000e+02 1.00000000e-02 1.62892802e+00 -6.04563553e-01 2.26706867e+00 4.21413263e+01 2.54655521e-01 1.57879683e+00 1.86050356e+00
3.09894574e+02 -4.45892022e+02 7.27381057e-01 -1.93648445e+02 1.75000000e+02 1.00000000e-02 1.53496322e+00 -5.88979459e-01 2.35498262e+00 4.21287244e+01 2.43982913e-01 1.34181095e+00 1.58985447e+00
4.11816440e+02 -4.46145567e+02 3.92080037e-01 -1.93758558e+02 1.75000000e+02 1.00000000e-02 1.50171093e+00 -6.15346776e-01 2.27755903e+00 4.20962782e+01 2.17625967e-01 4.11444589e+00 4.11630751e+00
3.13979425e+02 -4.48563625e+02 3.85414746e-01 -1.94808707e+02 1.75000000e+02 1.00000000e-02 1.58754928e+00 -5.17494293e-01 2.30750192e+00 4.21605496e+01 2.43925300e-01 1.19149822e+00 1.83876836e+00
2.80335498e+02 -4.46672671e+02 3.64638667e-01 -1.93987476e+02 1.75000000e+02 1.00000000e-02 1.55424483e+00 -5.57053963e-01 2.35815050e+00 4.20875019e+01 2.58204454e-01 4.04558932e+00 4.30930711e+00
3.06308026e+02 -4.46346771e+02 3.74181615e-01 -1.93845940e+02 1.75000000e+02 1.00000000e-02 1.50134561e+00 -6.24553947e-01 2.37824916e+00 4.20959555e+01 2.49261917e-01 4.03966873e+00 3.93100788e+00
2.98673937e+02 -4.47144604e+02 3.91170394e-01 -1.94192434e+02 1.75000000e+02 1.00000000e-02 1.56415400e+00 -5.59647320e-01 2.36221375e+00 4.21227503e+01 2.56901149e-01 3.17955496e+00 3.22973885e+00
4.06248346e+02 -4.46944647e+02 5.15300948e-01 -1.94105594e+02 1.75000000e+02 1.00000000e-02 1.50526492e+00 -6.27690428e-01 2.39232107e+00 4.20870121e+01 2.75661990e-01 3.76959849e+00 4.24315570e+00
2.89237184e+02 -4.46353620e+02 3.69392415e-01 -1.93848914e+02 1.75000000e+02 1.00000000e-02 1.51358819e+00 -5.56972745e-01 2.35025418e+00 4.21104690e+01 2.36792673e-01 3.94277284e+00 3.73099476e+00
4.36166437e+02 -4.47256474e+02 4.44668893e-01 -1.94241019e+02 1.75000000e+02 1.00000000e-02 1.51904035e+00 -5.12132328e-01 2.29097933e+00 4.21330469e+01 2.68858211e-01 2.69699072e+00 2.22182208e+00
3.00552577e+02 -4.44004196e+02 3.57220050e-01 -1.92828572e+02 1.75000000e+02 1.00000000e-02 1.53191455e+00 -6.19196903e-01 2.40897165e+00 4.21331621e+01 2.72438990e-01 9.65000035e-01 1.58152685e+00
3.17748226e+02 -4.45976729e+02 3.71133483e-01 -1.93685233e+02 1.75000000e+02 1.00000000e-02 1.52344495e+00 -5.86849191e-01 2.35343241e+00 4.21155808e+01 2.64882676e-01 3.62297962e+00 3.55169069e+00
2.84397669e+02 -4.45410093e+02 3.68937683e-01 -1.93439146e+02 1.75000000e+02 1.00000000e-02 1.45892203e+00 -6.53059571e-01 2.34180799e+00 4.21201268e+01 2.59012398e-01 1.63760087e+00 1.67762814e+00
2.84554317e+02 -4.45267858e+02 3.71620004e-01 -1.93377374e+02 1.75000000e+02 1.00000000e-02 1.53757319e+00 -6.04428942e-01 2.37579767e+00 4.21264730e+01 2.63927647e-01 1.41471310e+00 1.69599548e+00
3.82204094e+02 -4.45956032e+02 3.86866191e-01 -1.93676244e+02 1.75000000e+02 1.00000000e-02 1.51992108e+00 -5.89560898e-01 2.36427882e+00 4.21362763e+01 2.73512102e-01 2.21936263e+00 1.81181438e+00
2.84827339e+02 -4.45257227e+02 3.62933536e-01 -1.93372757e+02 1.75000000e+02 1.00000000e-02 1.47062182e+00 -5.23030559e-01 2.36738794e+00 4.21493586e+01 2.55653660e-01 1.11542541e+00 1.67046531e+00
2.91244847e+02 -4.45139486e+02 3.73615014e-01 -1.93321622e+02 1.75000000e+02 1.00000000e-02 1.51187134e+00 -5.75218538e-01 2.37363744e+00 4.21262063e+01 2.52317319e-01 2.61937518e+00 2.08801272e+00
2.84474724e+02 -4.45453707e+02 3.64744468e-01 -1.93458087e+02 1.75000000e+02 1.00000000e-02 1.50744137e+00 -6.51396564e-01 2.39332039e+00 4.21324934e+01 2.68728087e-01 1.09797150e+00 1.58116135e+00
3.52258679e+02 -4.47516746e+02 3.89434575e-01 -1.94354053e+02 1.75000000e+02 1.00000000e-02 1.61909354e+00 -5.71088292e-01 2.29313366e+00 4.21165433e+01 2.45968587e-01 2.62587618e+00 2.42694765e+00
3.13315084e+02 -4.48106476e+02 3.98864555e-01 -1.94610170e+02 1.75000000e+02 1.00000000e-02 1.56558141e+00 -5.45490041e-01 2.23900592e+00 4.21344963e+01 2.45302764e-01 2.43310399e+00 2.89509177e+00
2.69983943e+02 -4.45574713e+02 3.57365944e-01 -1.93510639e+02 1.75000000e+02 1.00000000e-02 1.49888430e+00 -5.33456825e-01 2.37008297e+00 4.20800974e+01 2.41085992e-01 4.03039609e+00 4.34963978e+00
3.09201113e+02 -4.47754502e+02 3.85890071e-01 -1.94457309e+02 1.75000000e+02 1.00000000e-02 1.58186122e+00 -5.75160242e-01 2.29093670e+00 4.21116801e+01 2.44175117e-01 3.04313990e+00 2.78333742e+00
3.04559140e+02 -4.45528811e+02 3.64932042e-01 -1.93490704e+02 1.75000000e+02 1.00000000e-02 1.50714663e+00 -5.81510261e-01 2.33778644e+00 4.20795239e+01 2.50736344e-01 3.92050210e+00 4.31188470e+00
3.14287761e+02 -4.46757026e+02 3.74384615e-01 -1.94024111e+02 1.75000000e+02 1.00000000e-02 1.60320242e+00 -7.52497571e-01 2.34546338e+00 4.21289820e+01 2.52489587e-01 2.94285354e+00 2.53675076e+00
3.28334206e+02 -4.44052319e+02 3.94747239e-01 -1.92849472e+02 1.75000000e+02 1.00000000e-02 1.43540643e+00 -4.79753966e-01 2.45140363e+00 4.21327976e+01 2.59239063e-01 1.09082335e+00 1.57289720e+00
2.67520660e+02 -4.44744975e+02 3.59435623e-01 -1.93150288e+02 1.75000000e+02 1.00000000e-02 1.46298168e+00 -5.29649721e-01 2.37316581e+00 4.21414339e+01 2.61815016e-01 9.55160967e-01 1.55390616e+00
5.26362904e+02 -4.45327508e+02 4.33038903e-01 -1.93403279e+02 1.75000000e+02 1.00000000e-02 1.52220307e+00 -5.68432134e-01 2.37545015e+00 4.20971850e+01 2.71140123e-01 1.38048614e+00 1.78407553e+00
3.43397113e+02 -4.44903835e+02 3.76252817e-01 -1.93219281e+02 1.75000000e+02 1.00000000e-02 1.47365341e+00 -5.60613452e-01 2.38162467e+00 4.21376578e+01 2.55033775e-01 1.39868289e+00 1.69091386e+00
2.97090052e+02 -4.45584640e+02 3.97378733e-01 -1.93514950e+02 1.75000000e+02 1.00000000e-02 1.52010056e+00 -5.77469300e-01 2.33900529e+00 4.21197417e+01 2.26527953e-01 2.92071160e+00 2.85526530e+00
2.73400599e+02 -4.45175865e+02 3.68258109e-01 -1.93337422e+02 1.75000000e+02 1.00000000e-02 1.45658673e+00 -5.12303014e-01 2.36522415e+00 4.21023422e+01 2.51888881e-01 3.75516904e+00 4.05522961e+00
3.06882415e+02 -4.46142852e+02 3.80408633e-01 -1.93757379e+02 1.75000000e+02 1.00000000e-02 1.51540216e+00 -6.45138024e-01 2.30707936e+00 4.21082638e+01 2.63080701e-01 3.83402621e+00 3.79867631e+00
