# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecos planet1_esin planet1_ma0
1.85187432e+02 -4.56576269e+02 2.71085861e-01 -1.98288554e+02 1.75000000e+02 1.00000000e-02 1.70225109e+00 6.57638972e+00 4.43288877e-01 4.01704296e+01 3.32831475e-02 6.28680290e-03 3.12604564e+00
1.84233765e+02 -4.56067643e+02 2.65989650e-01 -1.98067661e+02 1.75000000e+02 1.00000000e-02 1.69916859e+00 6.49611335e+00 4.45529343e-01 4.02764421e+01 -3.52274378e-04 -3.02000540e-02 3.13400638e+00
2.00094286e+02 -4.56206676e+02 2.67487643e-01 -1.98128042e+02 1.75000000e+02 1.00000000e-02 1.68200215e+00 6.64526266e+00 5.74106579e-01 4.22738820e+01 1.09690031e-01 -2.82345856e-01 3.40525331e+00
1.95548544e+02 -4.56862313e+02 2.74872049e-01 -1.98412782e+02 1.75000000e+02 1.00000000e-02 1.69823998e+00 6.54261167e+00 4.50752607e-01 4.03982382e+01 -3.00964062e-02 -1.24712744e-02 3.28155969e+00
1.90572321e+02 -4.56653690e+02 2.71794229e-01 -1.98322178e+02 1.75000000e+02 1.00000000e-02 1.70315608e+00 6.55560162e+00 4.73331002e-01 4.07209581e+01 2.75601157e-02 -1.33371358e-01 3.91365336e+00
1.86775758e+02 -4.56440268e+02 2.69485111e-01 -1.98229490e+02 1.75000000e+02 1.00000000e-02 1.69684364e+00 6.49821153e+00 4.62918690e-01 4.09286010e+01 9.70260345e-03 -9.40398742e-02 3.42973530e+00
1.92621685e+02 -4.56750826e+02 2.72560220e-01 -1.98364363e+02 1.75000000e+02 1.00000000e-02 1.70170137e+00 6.53468872e+00 4.61692944e-01 4.06721987e+01 -1.85403095e-02 -8.55879863e-02 3.69182065e+00
1.96290539e+02 -4.56883408e+02 2.74497765e-01 -1.98421943e+02 1.75000000e+02 1.00000000e-02 1.70565803e+00 6.59107475e+00 4.82862114e-01 4.09029367e+01 1.32139400e-02 -7.47240384e-02 3.17425035e+00
1.98723968e+02 -4.56925653e+02 2.74659393e-01 -1.98440290e+02 1.75000000e+02 1.00000000e-02 1.68949271e+00 6.52042979e+00 4.67774081e-01 4.09245299e+01 -9.63157407e-03 -1.53891872e-01 3.98805206e+00
1.91805598e+02 -4.56476835e+02 2.69469922e-01 -1.98245371e+02 1.75000000e+02 1.00000000e-02 1.70073474e+00 6.51808531e+00 4.90712938e-01 4.09474349e+01 -2.78081661e-02 -6.60365191e-02 3.35825286e+00
1.95095206e+02 -4.56439516e+02 2.74213272e-01 -1.98229163e+02 1.75000000e+02 1.00000000e-02 1.69999776e+00 6.49523640e+00 4.51802274e-01 4.07924453e+01 5.82284851e-02 -8.61199751e-02 3.62652684e+00
1.89228608e+02 -4.56646848e+02 2.70956458e-01 -1.98319206e+02 1.75000000e+02 1.00000000e-02 1.69421726e+00 6.51500330e+00 4.45344061e-01 4.02000221e+01 2.98099027e-02 -5.36418066e-02 3.58879949e+00
1.88677070e+02 -4.56750221e+02 2.72214920e-01 -1.98364101e+02 1.75000000e+02 1.00000000e-02 1.68831393e+00 6.58472476e+00 4.23102053e-01 4.04498310e+01 -2.28833053e-02 -8.12216671e-02 3.74734042e+00
1.94619412e+02 -4.56811720e+02 2.73175849e-01 -1.98390809e+02 1.75000000e+02 1.00000000e-02 1.69126670e+00 6.52451307e+00 4.74987402e-01 4.06530435e+01 1.85013641e-02 -7.76988855e-02 3.78822402e+00
1.95201133e+02 -4.56556925e+02 2.71684390e-01 -1.98280153e+02 1.75000000e+02 1.00000000e-02 1.68190632e+00 6.47129010e+00 5.52570406e-01 4.21203064e+01 -7.55437034e-02 -2.75081082e-01 3.73323047e+00
1.97571989e+02 -4.57369626e+02 2.78417447e-01 -1.98633105e+02 1.75000000e+02 1.00000000e-02 1.70070935e+00 6.55692176e+00 4.59354615e-01 4.02117573e+01 1.67748041e-02 -6.15922204e-02 3.69035111e+00
