# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecos planet1_esin planet1_ma0 planet2_k1 planet2_period planet2_ecos planet2_esin planet2_ma0
9.56096389e+02 -4.59453805e+02 2.41599800e-01 -1.99538252e+02 3.00000000e+02 1.00000000e-02 1.65407363e+00 6.53657915e+00 4.84730121e-01 4.11912732e+01 -7.24735812e-03 -8.00478447e-02 2.94197926e+00 7.13139190e-01 1.17066671e+01 -1.47234584e-01 -1.14717580e-01 2.11068008e+00
9.41199074e+02 -4.58774421e+02 2.36638659e-01 -1.99243199e+02 3.00000000e+02 1.00000000e-02 1.64529627e+00 6.51450434e+00 5.28824450e-01 4.05234609e+01 5.39011640e-02 -6.34287732e-02 3.74132512e+00 7.09265016e-01 1.17011047e+01 -1.49639052e-01 -8.53861542e-02 2.40580212e+00
9.67838597e+02 -4.58969327e+02 2.39787828e-01 -1.99327846e+02 3.00000000e+02 1.00000000e-02 1.64745913e+00 6.50149692e+00 5.07511537e-01 4.09624837e+01 3.87248146e-02 -7.88583974e-02 3.24016842e+00 7.08205994e-01 1.17162000e+01 -7.33417441e-02 -8.53003450e-02 2.34640465e+00
9.30860954e+02 -4.58808762e+02 2.38319309e-01 -1.99258114e+02 3.00000000e+02 1.00000000e-02 1.63647729e+00 6.52867812e+00 5.01087873e-01 4.05084509e+01 -3.95822373e-02 2.11034751e-02 3.13986418e+00 7.11808253e-01 1.17064485e+01 -1.43152543e-01 -8.65517744e-02 2.16457943e+00
9.46414076e+02 -4.58871783e+02 2.36179415e-01 -1.99285483e+02 3.00000000e+02 1.00000000e-02 1.64955572e+00 6.51323106e+00 4.77864031e-01 4.07577716e+01 -2.21944097e-02 -2.49154655e-02 2.84239170e+00 7.00904354e-01 1.17080080e+01 -1.16446396e-01 -8.33841233e-02 2.56378626e+00
9.41049367e+02 -4.59125097e+02 2.39082310e-01 -1.99395496e+02 3.00000000e+02 1.00000000e-02 1.63679210e+00 6.56575493e+00 5.19336106e-01 4.07083014e+01 -4.06297942e-02 -9.35942152e-02 3.53018690e+00 7.15660789e-01 1.17114350e+01 -8.01491880e-02 -5.32897731e-02 3.01938393e+00
9.45470509e+02 -4.58695443e+02 2.36926624e-01 -1.99208900e+02 3.00000000e+02 1.00000000e-02 1.64029914e+00 6.52027342e+00 5.23899990e-01 4.07517392e+01 7.79138649e-03 -5.50733064e-02 3.73086376e+00 7.20399526e-01 1.17076796e+01 -1.21389694e-01 -7.41054538e-02 2.54592610e+00
9.17585324e+02 -4.58600168e+02 2.36385104e-01 -1.99167522e+02 3.00000000e+02 1.00000000e-02 1.64265402e+00 6.47137787e+00 4.65485905e-01 4.04829796e+01 -1.35991183e-02 1.74785709e-02 2.84630527e+00 7.07712451e-01 1.17052377e+01 -1.12596715e-01 -8.46433255e-02 2.25538979e+00
9.48027121e+02 -4.58742611e+02 2.37293877e-01 -1.99229385e+02 3.00000000e+02 1.00000000e-02 1.64172235e+00 6.51478647e+00 4.94029405e-01 4.06561372e+01 2.10153166e-02 -1.06190610e-01 3.80776352e+00 7.03920898e-01 1.17038055e+01 -1.55553277e-01 -1.09230236e-01 1.87794809e+00
9.67422314e+02 -4.58983781e+02 2.39274563e-01 -1.99334124e+02 3.00000000e+02 1.00000000e-02 1.64299262e+00 6.45466301e+00 4.78355792e-01 4.04089057e+01 3.83441098e-02 -3.49107861e-02 3.55793283e+00 6.81812683e-01 1.17057507e+01 -1.37181310e-01 -4.81634890e-02 2.59167241e+00
9.24096641e+02 -4.58541357e+02 2.36553867e-01 -1.99141981e+02 3.00000000e+02 1.00000000e-02 1.62873545e+00 6.46675379e+00 5.32953484e-01 4.04623087e+01 -4.90570469e-04 -5.32368420e-02 3.17614570e+00 7.28314792e-01 1.17047432e+01 -1.31336326e-01 -9.06791568e-02 2.37264393e+00
