# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_secos planet1_sesin planet1_ma0 planet2_k1 planet2_period planet2_secos planet2_sesin planet2_ma0 planet3_k1 planet3_logperiod planet3_secos planet3_sesin planet3_ma0
4.36981698e+03 -3.83752706e+02 3.51403321e-01 -1.66661683e+02 3.06000000e+02 1.00000000e-02 5.52740105e-01 6.69854011e+00 1.57249956e+00 2.41268006e+02 2.27189516e-01 -1.29189955e-01 4.07368178e+00 6.94058271e-01 2.55517622e+01 3.96030403e-01 6.09219924e-01 3.55986690e+00 2.28301253e+00 2.76962979e+00 1.47939256e-01 -9.44455574e-02 3.68447583e+00
3.70902739e+03 -3.84755639e+02 3.60433078e-01 -1.67097251e+02 3.06000000e+02 1.00000000e-02 5.93661193e-01 6.62121698e+00 1.06415793e+00 3.13811208e+02 -1.76575322e-01 -9.97363718e-02 3.52034307e+00 7.87573560e-01 9.64729531e+01 4.22721528e-01 2.31008962e-01 2.74882498e+00 2.26119492e+00 2.76982211e+00 1.67143200e-01 5.80394601e-02 2.96224195e+00
5.40886797e+03 -3.87311466e+02 4.93392744e-01 -1.68207233e+02 3.06000000e+02 1.00000000e-02 6.36972659e-01 6.79263999e+00 2.22888916e+00 1.59630353e+01 8.78707577e-02 -1.18901968e-01 3.98551782e+00 8.31195041e-01 9.01177798e+01 4.30899862e-01 -2.35689203e-01 1.12400906e+00 1.68625682e+00 2.03040459e+00 -6.12914097e-01 -6.73543953e-01 4.22656355e+00
1.01510349e+04 -3.85697170e+02 8.32601967e-01 -1.67506153e+02 3.06000000e+02 1.00000000e-02 5.86345271e-01 6.41489483e+00 1.20368198e+00 1.21739516e+02 3.71952476e-01 1.20040859e-02 4.18426638e+00 2.06182746e+00 1.59498267e+01 -4.09565932e-02 -1.54379755e-01 4.98613906e+00 9.81951232e-01 8.57183185e+00 9.72630763e-01 7.36764994e-01 1.19911920e-01
5.07405248e+03 -3.83718326e+02 3.26806699e-01 -1.66646752e+02 4.25000000e+02 1.00000000e-02 6.13685936e-01 6.68228035e+00 2.05818850e+00 2.69081692e+02 9.91613485e-02 4.39608250e-02 2.65624100e+00 7.65314594e-01 8.44760320e+01 1.85403772e-01 1.58882153e-01 3.23987033e+00 1.23579524e+00 4.58382300e+00 3.48358664e-01 6.23335020e-02 1.97086360e+00
8.55629885e+03 -3.83997069e+02 4.83069005e-01 -1.66767808e+02 4.25000000e+02 1.00000000e-02 5.38309929e-01 5.97841488e+00 2.29116550e+00 1.59537817e+01 2.90547797e-01 -1.67861598e-01 3.60155099e+00 8.10715274e-01 9.07817236e+01 3.41516095e-01 2.27595329e-01 2.44431484e-01 1.56710998e+00 9.94182977e-01 -4.83648185e-01 7.34634786e-01 4.07577676e+00
9.25878892e+03 -3.84249265e+02 3.38206169e-01 -1.66877336e+02 4.25000000e+02 1.00000000e-02 6.40522014e-01 5.94943919e+00 2.60910680e+00 2.66393070e+03 6.04568219e-01 -7.33265932e-01 7.95575941e-01 2.09720895e+00 1.59631904e+01 6.23686482e-03 6.79217012e-02 1.35703040e+00 8.94426744e-01 4.54283085e+00 2.94095377e-01 -1.85263956e-02 1.47985944e+00
5.19593888e+03 -3.84313301e+02 4.78357569e-01 -1.66905146e+02 4.25000000e+02 1.00000000e-02 6.09290874e-01 6.67926693e+00 2.19410889e+00 1.59546327e+01 1.61600539e-01 4.03184906e-02 2.88182313e+00 1.13078252e+00 2.32670772e+02 4.06489502e-01 -6.61932596e-04 1.02540742e+00 1.26799373e+00 5.10248860e+00 3.31939673e-01 -5.12350821e-01 3.35721965e+00
5.45309800e+03 -3.85758085e+02 4.14587385e-01 -1.67532608e+02 4.25000000e+02 1.00000000e-02 6.03055932e-01 6.75435524e+00 1.58285537e+00 5.17777324e+01 1.93361263e-01 -3.75022404e-02 2.39377413e+00 1.06061868e+00 2.33267528e+02 6.47032239e-02 9.81065148e-02 1.86606204e+00 2.49200766e+00 5.06986358e+00 9.41867954e-02 -2.76636579e-01 3.53924908e+00
7.69101231e+03 -3.85545910e+02 3.17688412e-01 -1.67440461e+02 4.25000000e+02 1.00000000e-02 5.25779357e-01 7.58784943e+00 2.11010775e+00 2.46400257e+02 -8.57479247e-01 6.32946972e-01 3.58593698e+00 1.61347476e+00 7.62252350e+01 5.23339317e-02 4.25950297e-01 2.35694539e+00 1.61726205e+00 3.54683979e+00 6.99642672e-02 7.31842911e-02 1.45774456e+00
