# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_secos planet1_sesin planet1_ma0 planet2_k1 planet2_period planet2_secos planet2_sesin planet2_ma0
1.42150856e+03 -3.62808992e+02 3.11717958e-01 -1.57565943e+02 3.00000000e+02 1.00000000e-02 4.47435042e-01 -8.45284579e+00 1.12709825e+00 4.01595298e+01 -2.07604567e-01 5.33498196e-01 4.55019084e+00 1.21217549e+00 9.19770716e+01 3.39764105e-02 -9.96479224e-02 2.37131404e+00
1.96696595e+03 -3.71028372e+02 5.31147389e-01 -1.61135574e+02 3.00000000e+02 1.00000000e-02 4.50077415e-01 -8.43280424e+00 1.22397077e+00 9.19916395e+01 2.32402441e-02 -3.92116118e-02 3.16280965e+00 1.13636268e+00 4.01633485e+01 -2.04817779e-01 5.40475160e-01 4.53186926e+00
1.86743493e+03 -3.72641382e+02 4.00195674e-01 -1.61836096e+02 3.00000000e+02 1.00000000e-02 4.57641291e-01 -8.44751188e+00 1.11269083e+00 4.41053400e+01 -4.84464829e-02 2.28076674e-01 3.23323993e+00 1.19495452e+00 8.80720504e+01 -3.08872169e-03 -1.81553286e-01 2.42308008e+00
1.91823712e+03 -3.70291642e+02 4.97823593e-01 -1.60815617e+02 3.00000000e+02 1.00000000e-02 4.54314679e-01 -8.42435295e+00 1.20701618e+00 8.40325221e+01 -2.42653568e-03 5.22352831e-03 2.60610883e+00 1.13687477e+00 4.81426781e+01 -1.54814597e-01 4.07873842e-01 4.25790687e+00
1.85726420e+03 -3.72039523e+02 4.96505153e-01 -1.61574712e+02 3.00000000e+02 1.00000000e-02 4.53102607e-01 -8.44122770e+00 1.15398684e+00 5.43441469e+01 -1.66157322e-01 3.71251488e-01 3.99891691e+00 1.18976689e+00 7.78205444e+01 -4.53066238e-02 1.60036613e-02 2.97704608e+00
1.67136146e+03 -3.73892750e+02 3.49606334e-01 -1.62379558e+02 3.00000000e+02 1.00000000e-02 5.30722696e-01 -8.32710332e+00 1.88534459e+00 1.86556632e+02 -3.71053519e-01 7.12487319e-03 1.92573467e+00 1.61581585e+00 1.44562745e+02 7.11815932e-02 -2.72329553e-01 1.93303736e+00
1.77873609e+03 -3.66220586e+02 3.62330749e-01 -1.59047580e+02 3.00000000e+02 1.00000000e-02 4.60683676e-01 -8.45498415e+00 1.22017626e+00 9.20236800e+01 1.03896609e-01 -6.73811171e-02 1.72322561e+00 1.12384790e+00 4.01622504e+01 -1.92791324e-01 4.96624063e-01 4.57107005e+00
1.82925583e+03 -3.70372606e+02 4.05883193e-01 -1.60850779e+02 3.00000000e+02 1.00000000e-02 4.54634403e-01 -8.44466387e+00 1.17623076e+00 6.16071357e+01 -9.70020421e-02 2.73264668e-01 3.49131074e+00 1.18192033e+00 7.05282629e+01 2.06824002e-02 8.57755341e-02 2.46682141e+00
1.90622512e+03 -3.68351782e+02 3.70403183e-01 -1.59973146e+02 3.00000000e+02 1.00000000e-02 4.59165487e-01 -8.43741275e+00 1.17754660e+00 6.92019867e+01 -7.44552034e-02 2.23609287e-01 3.87820773e+00 1.18145638e+00 6.29999652e+01 -1.11203214e-01 3.05549629e-01 4.10766167e+00
1.85469021e+03 -3.71356200e+02 3.94282201e-01 -1.61277948e+02 3.00000000e+02 1.00000000e-02 4.57386544e-01 -8.42209241e+00 1.20642707e+00 8.07961224e+01 -1.43939321e-02 5.34306059e-03 2.63075525e+00 1.13420575e+00 5.13625240e+01 -1.10854189e-01 3.20728035e-01 3.87791841e+00
1.96946248e+03 -3.70316959e+02 3.72214900e-01 -1.60826612e+02 3.00000000e+02 1.00000000e-02 4.55868754e-01 -8.44036169e+00 1.23345874e+00 9.19850475e+01 2.80076504e-02 -5.47579989e-02 2.69729884e+00 1.12933131e+00 4.01658277e+01 -1.90298093e-01 5.31101198e-01 4.54152756e+00
2.10647658e+03 -3.70429872e+02 4.53638398e-01 -1.60875649e+02 3.00000000e+02 1.00000000e-02 4.60579727e-01 -8.45416098e+00 1.11690289e+00 4.01537353e+01 -1.86391470e-01 5.01594721e-01 4.45600541e+00 1.22328258e+00 9.20194442e+01 7.26190564e-02 -1.14043600e-01 1.93067313e+00
