# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0
1.70769589e+01 -4.13105378e+02 4.45092518e-01 -1.79409386e+02 5.00000000e+01 1.00000000e-02 1.17888129e+00 -1.08564983e+01
1.26553853e+01 -4.13980091e+02 4.34840613e-01 -1.79789269e+02 5.00000000e+01 1.00000000e-02 1.18006421e+00 -1.07459278e+01
1.95133812e+01 -4.13743994e+02 4.30779496e-01 -1.79686734e+02 5.00000000e+01 1.00000000e-02 1.17989236e+00 -1.08814096e+01
2.12697201e+01 -4.13544138e+02 6.77833358e-01 -1.79599937e+02 5.00000000e+01 1.00000000e-02 1.23827063e+00 -1.07884829e+01
1.47289720e+01 -4.14656195e+02 5.79368200e-01 -1.80082897e+02 5.00000000e+01 1.00000000e-02 1.13625579e+00 -1.08549801e+01
1.71222374e+01 -4.14208413e+02 4.38508771e-01 -1.79888428e+02 5.00000000e+01 1.00000000e-02 1.17485299e+00 -1.09066970e+01
1.61820991e+01 -4.13268571e+02 5.37148835e-01 -1.79480260e+02 5.00000000e+01 1.00000000e-02 1.17170977e+00 -1.08728373e+01
1.76103406e+01 -4.13404052e+02 4.17209628e-01 -1.79539099e+02 5.00000000e+01 1.00000000e-02 1.16756406e+00 -1.08197580e+01
2.02271583e+01 -4.13302649e+02 5.13571608e-01 -1.79495060e+02 5.00000000e+01 1.00000000e-02 1.15279601e+00 -1.09129059e+01
1.33051429e+01 -4.12835009e+02 4.08925703e-01 -1.79291967e+02 5.00000000e+01 1.00000000e-02 1.14709828e+00 -1.09373570e+01
1.81920323e+01 -4.14218086e+02 4.86630641e-01 -1.79892629e+02 5.00000000e+01 1.00000000e-02 1.18076171e+00 -1.08398246e+01
1.44662430e+01 -4.14013492e+02 5.40705468e-01 -1.79803775e+02 5.00000000e+01 1.00000000e-02 1.14663134e+00 -1.09028038e+01
