# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_secos planet1_sesin planet1_ma0 planet2_k1 planet2_period planet2_secos planet2_sesin planet2_ma0
2.46928924e+04 -4.90422248e+02 2.67166309e-01 -2.12987676e+02 2.40000000e+02 1.00000000e-02 1.97018159e+00 -5.77836280e+00 5.94177579e+00 4.11916202e+00 -5.31994540e-01 8.34520321e-01 -1.02202814e+01 5.95078193e+00 2.69268832e+00 -7.14498245e-01 9.74924901e-01 -3.30865356e+00
1.03841437e+04 -4.90796451e+02 2.65159556e-01 -2.13150190e+02 2.40000000e+02 1.00000000e-02 2.12595300e+00 8.57097572e-01 6.87386534e-01 4.64500232e+00 7.43050612e-01 1.22301150e-02 -1.48421179e+01 7.06398508e+00 3.22514914e+00 9.03008594e-01 -7.11245033e-01 -1.00384248e+01
5.87881811e+03 -4.90460470e+02 2.67385742e-01 -2.13004276e+02 2.40000000e+02 1.00000000e-02 1.95417815e+00 6.69025144e-01 1.03162089e+00 4.95428751e+00 -7.65596407e-01 1.34494596e-01 -1.72234243e+00 4.11049097e+00 2.82091588e+00 6.83306544e-01 -8.34115266e-01 -4.94713163e+00
7.04778180e+04 -4.90257038e+02 2.36227451e-01 -2.12913729e+02 3.00000000e+02 1.00000000e-03 2.01355021e+00 4.42699979e-01 1.85796167e+00 4.10654616e+00 6.91998997e-01 -4.55787631e-01 -2.71554116e-01 1.77794079e+00 2.62506245e+00 -8.18951569e-01 -3.87934386e-01 -7.14596069e+00
7.45841308e+04 -4.90406811e+02 2.40747417e-01 -2.12978774e+02 3.00000000e+02 1.00000000e-03 2.03258090e+00 1.47434416e+00 6.91235883e+00 4.10622112e+00 7.39835851e-01 -8.62160676e-01 4.55454699e+00 1.17120325e+00 2.62146789e+00 -2.05162490e-01 -8.72627781e-01 -1.03247653e+01
1.75265432e+03 -4.03724994e+02 5.50102536e-01 -1.75335537e+02 1.44000000e+02 1.00000000e-02 6.32306421e-01 -4.40619572e-01 1.77460808e+00 1.21090657e+01 9.79342702e-02 2.07053449e-01 5.43113262e+00 2.27145749e+00 4.21935501e+01 2.05702156e-01 2.63083336e-01 1.44176555e+00
5.04734074e+03 -4.10706323e+02 4.59153680e-01 -1.78367490e+02 2.40000000e+02 1.00000000e-02 6.31808953e-01 -4.14393274e-01 2.30063100e+00 4.21752410e+01 -3.18574886e-02 -2.27849533e-01 3.35133577e+00 1.74808199e+00 1.21092919e+01 2.25253113e-01 6.27134966e-02 4.47746114e-01
1.04488388e+03 -4.14126996e+02 6.09605513e-01 -1.79853069e+02 1.44000000e+02 1.00000000e-02 6.31554721e-01 -3.73951415e-01 1.75352555e+00 1.21095389e+01 6.21895072e-02 3.22957617e-02 3.09848696e+00 2.27788125e+00 4.22098780e+01 1.78870536e-01 3.17384304e-01 1.35703850e+00
1.89646721e+03 -4.01133396e+02 4.15595624e-01 -1.74210020e+02 2.40000000e+02 1.00000000e-03 6.44495437e-01 -4.76358444e-01 2.30798906e+00 4.21843394e+01 1.23212146e-02 -1.84306545e-01 3.05376344e+00 1.74613132e+00 1.21088088e+01 1.98758405e-01 8.39588886e-02 1.44755390e+00
3.97692038e+03 -4.13920744e+02 4.24907357e-01 -1.79763495e+02 3.00000000e+02 1.00000000e-02 6.46381498e-01 -4.54881839e-01 2.27914379e+00 4.22077011e+01 1.88914946e-01 3.83936024e-01 1.17622046e+00 1.77265466e+00 1.21089148e+01 9.41252145e-02 2.38659926e-01 5.71938688e+00
2.57498133e+03 -4.03657348e+02 3.80928198e-01 -1.75306159e+02 3.00000000e+02 1.00000000e-02 6.51844979e-01 -4.23098648e-01 2.27560540e+00 4.22048057e+01 1.56940436e-01 1.89102628e-01 1.87892718e+00 1.75774549e+00 1.21081779e+01 1.31259591e-01 1.56173407e-01 3.13606415e+00
2.54496178e+03 -4.07193860e+02 3.98536893e-01 -1.76842046e+02 3.00000000e+02 1.00000000e-02 6.31222516e-01 -4.16554089e-01 1.76670724e+00 1.21089064e+01 1.66940936e-01 1.31029554e-01 2.06803349e+00 2.29465143e+00 4.22051042e+01 2.23259194e-01 3.57135631e-01 1.31507571e+00
2.69591577e+03 -4.03631607e+02 3.82558518e-01 -1.75294979e+02 3.00000000e+02 1.00000000e-02 6.10251576e-01 -4.95458466e-01 2.32455585e+00 4.21879828e+01 1.63629356e-02 -8.31071250e-02 2.77257159e+00 1.76574911e+00 1.21112402e+01 8.42271846e-02 2.39308865e-01 5.64909178e+00
1.82620994e+03 -4.49243728e+02 2.93512126e-01 -1.95104072e+02 3.00000000e+02 1.00000000e-02 1.38873756e+00 -8.64813209e-01 2.22031879e+00 3.77320679e+02 7.51619567e-01 1.95605879e-02 4.11654543e+00 2.33047006e+00 4.20965869e+01 -7.60438196e-02 -1.27470349e-01 4.36597975e+00
1.97785862e+03 -4.52192346e+02 2.97334799e-01 -1.96384640e+02 3.00000000e+02 1.00000000e-02 1.58802589e+00 -5.98023777e-01 1.80822364e+00 1.41682769e+03 -4.03392439e-01 -6.14288350e-01 4.84969447e+00 1.02084823e+00 1.23788105e+03 -6.17929917e-01 3.06097173e-03 1.50101561e+00
2.14530749e+03 -4.01138742e+02 3.72074171e-01 -1.74212342e+02 3.00000000e+02 1.00000000e-02 6.41577824e-01 -4.20715919e-01 2.28964442e+00 4.22018662e+01 9.34742860e-02 9.06707603e-02 2.10725717e+00 1.77000289e+00 1.21107590e+01 7.81400864e-02 2.58354742e-01 5.68789653e+00
2.70976833e+03 -4.09249113e+02 4.05456008e-01 -1.77734631e+02 3.00000000e+02 1.00000000e-02 6.43139993e-01 -4.67846581e-01 1.76434911e+00 1.21096867e+01 1.95516350e-01 1.20190289e-01 2.18702946e+00 2.26659012e+00 4.22045213e+01 1.96785727e-01 3.66243743e-01 1.25289815e+00
2.58065945e+03 -4.06118892e+02 3.92711067e-01 -1.76375194e+02 3.00000000e+02 1.00000000e-02 6.24684332e-01 -4.68868663e-01 2.39430720e+00 4.21721226e+01 -1.50788836e-01 -4.38610853e-01 3.97573876e+00 1.76658507e+00 1.21091918e+01 1.02150621e-01 2.48846125e-01 5.77807400e+00
2.57742127e+03 -4.45387301e+02 3.15309164e-01 -1.93429247e+02 3.00000000e+02 1.00000000e-02 1.17911190e+00 -4.18810021e-01 2.20461825e+00 2.35203441e+01 2.52222888e-01 -8.47273506e-01 2.42961510e+00 2.69474320e+00 4.20275381e+01 3.99629928e-01 3.13170306e-01 1.64735945e+00
