# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0 planet1_k1 planet1_period planet1_ecc planet1_omega planet1_ma0
2.58548879e+03 -3.91837625e+02 4.25638858e-01 -1.70172918e+02 1.75000000e+02 1.00000000e-02 7.36256590e-01 6.45546959e+00 2.26501455e+00 1.59558747e+01 4.79773249e-02 3.45681573e+00 3.15869036e+00
1.00715701e+03 -3.89848418e+02 4.61488696e-01 -1.69309017e+02 1.40000000e+02 1.00000000e-02 7.22272421e-01 6.47345838e+00 2.26496188e+00 1.59556473e+01 4.94932631e-02 5.78678542e+00 3.54325905e+00
8.46928645e+02 -3.86681523e+02 4.37762841e-01 -1.67933652e+02 1.40000000e+02 1.00000000e-02 7.22531535e-01 6.48435216e+00 2.26025081e+00 1.59560358e+01 5.03076764e-02 5.72159104e-01 2.47786769e+00
9.35809814e+02 -3.88942467e+02 4.53633576e-01 -1.68915567e+02 1.40000000e+02 1.00000000e-02 7.23264647e-01 6.45849605e+00 2.25767560e+00 1.59561996e+01 4.88419782e-02 6.06536424e-01 2.44662018e+00
1.16194511e+03 -3.91607530e+02 4.75042504e-01 -1.70072989e+02 1.40000000e+02 1.00000000e-02 7.21563366e-01 6.44487648e+00 2.25999145e+00 1.59549882e+01 4.65573042e-02 2.27733357e+00 2.78462760e+00
9.87698158e+02 -3.89569397e+02 4.59532566e-01 -1.69187839e+02 1.40000000e+02 1.00000000e-02 7.22437623e-01 6.47601710e+00 2.26562841e+00 1.59552007e+01 4.61371913e-02 5.72033479e+00 3.60940434e+00
1.02792674e+03 -3.89227185e+02 4.57603515e-01 -1.69039219e+02 1.40000000e+02 1.00000000e-02 7.24917585e-01 6.47523187e+00 2.26450759e+00 1.59555041e+01 4.76293661e-02 5.76217002e+00 3.56773913e+00
1.14044607e+03 -3.92863825e+02 4.83424740e-01 -1.70618591e+02 1.40000000e+02 1.00000000e-02 7.24526716e-01 6.48384491e+00 2.26304133e+00 1.59551253e+01 4.39602436e-02 5.59753832e+00 3.73076413e+00
1.23479191e+03 -3.90058224e+02 4.66424351e-01 -1.69400134e+02 1.40000000e+02 1.00000000e-02 7.29211480e-01 6.43705681e+00 2.27431707e+00 1.59576441e+01 4.85003326e-02 1.60521845e+00 2.81474374e+00
9.73036592e+02 -3.90193282e+02 4.63298243e-01 -1.69458789e+02 1.40000000e+02 1.00000000e-02 7.22092306e-01 6.47307786e+00 2.26216625e+00 1.59551313e+01 4.62937430e-02 5.65751629e+00 3.67017191e+00
1.08397190e+03 -3.88541821e+02 4.53757026e-01 -1.68741569e+02 1.40000000e+02 1.00000000e-02 7.19801091e-01 6.47823992e+00 2.25397446e+00 1.59548726e+01 3.42146137e-02 1.40645804e+00 2.80180426e+00
9.06316225e+02 -3.89807781e+02 4.59901448e-01 -1.69291368e+02 1.40000000e+02 1.00000000e-02 7.20011947e-01 6.42729410e+00 2.25841213e+00 1.59564576e+01 4.93824321e-02 5.83413721e-01 2.46706346e+00
1.05525181e+03 -3.89094701e+02 4.56161358e-01 -1.68981681e+02 1.40000000e+02 1.00000000e-02 7.15228662e-01 6.45106556e+00 2.27886304e+00 1.59552563e+01 5.79394403e-02 1.94597554e+00 2.84053847e+00
3.55954409e+00 -3.89094701e+02 4.56161358e-01 -1.68981681e+02 1.40000000e+02 1.00000000e-02 7.21657261e-01 6.46635670e+00 2.27831755e+00 1.59550131e+01 5.74657443e-02 2.38515504e+00 2.91681478e+00
3.45850587e+00 -3.89094701e+02 4.56161358e-01 -1.68981681e+02 1.40000000e+02 1.00000000e-02 7.21657261e-01 6.46635670e+00 2.27831755e+00 1.59550131e+01 5.74657443e-02 2.38515504e+00 2.91681478e+00
9.08945668e+02 -3.89984815e+02 4.64107977e-01 -1.69368253e+02 1.40000000e+02 1.00000000e-02 7.21920819e-01 6.46252128e+00 2.26316434e+00 1.59559007e+01 5.15498729e-02 5.30045333e-01 2.52161176e+00
