# run_time logZ logZerr log10Z nlive prec eprv_jitter drift1_v0
1.76978257e+01 -4.54083991e+02 4.39837727e-01 -1.97204137e+02 5.00000000e+01 1.00000000e-02 1.81135880e+00 6.54563544e+00
1.98778236e+01 -4.53159611e+02 4.25897961e-01 -1.96802688e+02 5.00000000e+01 1.00000000e-02 1.80735424e+00 6.58939551e+00
1.94502988e+01 -4.53499902e+02 4.34644402e-01 -1.96950473e+02 5.00000000e+01 1.00000000e-02 1.78387806e+00 6.56854412e+00
1.91143191e+01 -4.53010701e+02 4.22691794e-01 -1.96738018e+02 5.00000000e+01 1.00000000e-02 1.78587973e+00 6.52388223e+00
1.98805795e+01 -4.53603549e+02 4.36064522e-01 -1.96995485e+02 5.00000000e+01 1.00000000e-02 1.78895095e+00 6.61365635e+00
2.02982004e+01 -4.54364150e+02 4.49228005e-01 -1.97325807e+02 5.00000000e+01 1.00000000e-02 1.77448590e+00 6.50312289e+00
1.30454450e+01 -4.52927336e+02 4.21705992e-01 -1.96703843e+02 5.00000000e+01 1.00000000e-02 1.79383890e+00 6.55890510e+00
1.38888383e+01 -4.54498677e+02 4.52268393e-01 -1.97386268e+02 5.00000000e+01 1.00000000e-02 1.75990342e+00 6.53333887e+00
1.34612803e+01 -4.53835186e+02 4.40074036e-01 -1.97098117e+02 5.00000000e+01 1.00000000e-02 1.79692757e+00 6.40324301e+00
1.26088488e+01 -4.53449337e+02 4.31842146e-01 -1.96930545e+02 5.00000000e+01 1.00000000e-02 1.74823239e+00 6.59609700e+00
1.29097996e+01 -4.53985324e+02 4.40393784e-01 -1.97163321e+02 5.00000000e+01 1.00000000e-02 1.77257503e+00 6.55824694e+00
1.28005178e+01 -4.53903756e+02 4.39613918e-01 -1.97127897e+02 5.00000000e+01 1.00000000e-02 1.79815324e+00 6.59657852e+00
1.23571000e+01 -4.53141801e+02 4.24833485e-01 -1.96796984e+02 5.00000000e+01 1.00000000e-02 1.77674383e+00 6.40208497e+00
1.29121845e+01 -4.53979852e+02 4.42822778e-01 -1.97160945e+02 5.00000000e+01 1.00000000e-02 1.80537204e+00 6.54912411e+00
1.34012122e+01 -4.54179669e+02 4.47708760e-01 -1.97247724e+02 5.00000000e+01 1.00000000e-02 1.77423534e+00 6.71297341e+00
1.29428573e+01 -4.53726649e+02 4.38025583e-01 -1.97050980e+02 5.00000000e+01 1.00000000e-02 1.81276092e+00 6.52286080e+00
