Time data sigma
---- ---- -----
0 2.7238 0.617097
4.0172 -2.07539 0.822796
8.9611 -6.94487 0.822796
23.9521 -4.41568 1.13134
35.965 -0.168843 0.822796
40.9613 5.42083 1.43989
257.193 -12.6501 1.23419
263.27 -11.49 0.719946
291.109 4.67755 0.925645
318.101 -10.7416 0.719946
333.02 -1.83805 1.13134
339.009 7.57427 0.617097
347.022 10.2957 1.23419
364.993 -1.25247 0.617097
611.359 -7.44774 0.514247
646.153 4.35883 1.43989
670.133 -3.77204 0.925645
683.118 -8.89034 0.514247
693.077 1.07516 0.925645
698.043 4.00805 1.54274
928.34 -7.86476 1.13134
952.367 12.4107 0.617097
983.279 -8.82403 0.925645
1039.03 -6.10199 0.925645
1093.97 -8.96725 0.719946
1390.09 -0.875085 1.13134
1739.13 10.8956 1.64559
1785.06 6.43876 0.822796
