Time data sigma
---- ---- -----
0 3.49178 0.617097
4.0172 5.479 0.822796
8.9611 3.90093 0.822796
23.9521 -3.3189 1.13134
35.965 -4.55693 0.822796
40.9613 -0.587793 1.43989
257.193 4.19984 1.23419
263.27 -3.05925 0.719946
291.109 0.12014 0.925645
318.101 0.438115 0.719946
333.02 -6.21065 1.13134
339.009 -4.20115 0.617097
347.022 -1.57091 1.23419
364.993 5.0933 0.617097
611.359 3.66472 0.514247
646.153 1.63527 1.43989
670.133 3.87834 0.925645
683.118 -1.61743 0.514247
693.077 -4.25536 0.925645
698.043 -1.25694 1.54274
928.34 -3.60133 1.13134
952.367 2.56238 0.617097
983.279 -0.203792 0.925645
1039.03 2.335 0.925645
1093.97 3.74204 0.719946
1390.09 4.17179 1.13134
1739.13 3.31769 1.64559
1785.06 0.15726 0.822796
