Time data sigma
---- ---- -----
0 9.30288 1.07071
102.731 -4.24049 1.39658
363.991 11.8723 0.931056
1446.97 9.00085 0.83795
1447.95 8.38296 0.791397
1448.94 7.0373 0.791397
1449.91 5.42668 0.83795
1455.96 -3.88141 0.977609
1458.9 -9.64577 1.39658
1471.83 -7.42114 1.07071
1473.9 -6.86759 0.83795
1475.86 -4.88313 1.16382
1477.85 -4.72593 1.07071
1478.95 -1.53758 0.791397
1504.82 10.5516 0.931056
1505.91 9.53252 0.977609
1510.89 5.42435 1.07071
1511.87 2.75971 0.791397
1512.79 2.31136 0.791397
1513.83 -0.29298 0.83795
1527.87 -7.79686 1.07071
1528.82 -9.31134 0.83795
1535.71 -6.73849 0.931056
1539.76 -2.08181 0.977609
1559.76 11.2889 0.83795
1561.76 12.7655 0.931056
1817.96 -7.6898 0.931056
1818.99 -9.63067 1.07071
1820.98 -8.77027 0.977609
1821.97 -9.75037 0.83795
1825.93 -9.33573 0.977609
1826.93 -10.0675 0.931056
1828.94 -8.25955 1.11727
1842.89 -0.494247 1.16382
1843.9 1.6549 1.16382
1850.82 6.11523 1.11727
1851.83 4.88422 1.02416
1852.86 6.23596 0.791397
1853.91 3.21486 1.25693
1855.88 7.84123 0.977609
1856.83 7.70527 1.11727
1857.83 10.0801 1.16382
1863.86 9.28484 0.744845
1866.93 7.94348 1.02416
1886.96 -10.4081 1.02416
1887.84 -8.62474 1.11727
1895.85 -5.63375 0.791397
1898.62 -2.84395 1.21037
1915.69 6.56235 0.791397
1916.78 8.89683 0.791397
1917.76 7.84579 0.791397
1918.78 10.6265 0.83795
1919.7 7.43636 0.791397
1920.71 9.51163 1.11727
1926.76 9.44962 0.884503
1927.74 10.131 0.884503
1944.64 -9.81984 1.16382
1947.64 -9.16329 1.07071
1948.66 -7.20446 0.791397
1956.68 -5.11921 1.25693
1958.7 -2.14141 0.791397
1987.69 10.0212 1.44314
2001.66 -11.084 0.884503
2008.66 -8.17092 1.35003
2009.68 -9.18776 0.977609
2014.63 -6.71467 1.02416
2018.63 -4.46524 0.884503
