Time data sigma
---- ---- -----
0 -5.24085 1.07071
102.731 6.18183 1.39658
363.991 -6.03027 0.931056
1446.97 -6.53061 0.83795
1447.95 -6.73007 0.791397
1448.94 -6.51213 0.791397
1449.91 -6.94011 0.83795
1455.96 -4.47681 0.977609
1458.9 -2.59716 1.39658
1471.83 9.41482 1.07071
1473.9 10.6538 0.83795
1475.86 9.20161 1.16382
1477.85 5.26602 1.07071
1478.95 6.70991 0.791397
1504.82 -4.80472 0.931056
1505.91 -7.34446 0.977609
1510.89 -9.01046 1.07071
1511.87 -6.31578 0.791397
1512.79 -9.32681 0.791397
1513.83 -7.32636 0.83795
1527.87 9.11725 1.07071
1528.82 8.60821 0.83795
1535.71 7.53551 0.931056
1539.76 5.19446 0.977609
1559.76 -6.49662 0.83795
1561.76 -7.29814 0.931056
1817.96 0.609339 0.931056
1818.99 -0.452252 1.07071
1820.98 -1.73151 0.977609
1821.97 1.48793 0.83795
1825.93 6.74044 0.977609
1826.93 2.1203 0.931056
1828.94 6.10411 1.11727
1842.89 6.88404 1.16382
1843.9 6.35271 1.16382
1850.82 -3.40931 1.11727
1851.83 -5.30571 1.02416
1852.86 -4.69045 0.791397
1853.91 -8.70498 1.25693
1855.88 -8.97675 0.977609
1856.83 -8.95686 1.11727
1857.83 -11.3685 1.16382
1863.86 -5.34232 0.744845
1866.93 -4.63901 1.02416
1886.96 5.07585 1.02416
1887.84 5.90933 1.11727
1895.85 11.0527 0.791397
1898.62 9.23031 1.21037
1915.69 -9.54303 0.791397
1916.78 -6.19857 0.791397
1917.76 -6.18421 0.791397
1918.78 -5.33688 0.83795
1919.7 -6.83128 0.791397
1920.71 -6.61871 1.11727
1926.76 -5.64495 0.884503
1927.74 -5.99332 0.884503
1944.64 4.43993 1.16382
1947.64 10.2564 1.07071
1948.66 8.11824 0.791397
1956.68 10.3624 1.25693
1958.7 10.435 0.791397
1987.69 -4.72636 1.44314
2001.66 3.34155 0.884503
2008.66 9.34744 1.35003
2009.68 11.0868 0.977609
2014.63 9.3871 1.02416
2018.63 6.84712 0.884503
