Time data sigma
---- ---- -----
0 11.194 0.617097
4.0172 9.35936 0.822796
8.9611 8.8269 0.822796
23.9521 -5.5126 1.13134
35.965 -17.9425 0.822796
40.9613 -13.3179 1.43989
257.193 3.52068 1.23419
263.27 -3.54252 0.719946
291.109 -0.260884 0.925645
318.101 -0.898953 0.719946
333.02 -10.2384 1.13134
339.009 -14.2714 0.617097
347.022 -6.10909 1.23419
364.993 17.029 0.617097
611.359 14.3443 0.514247
646.153 -2.53036 1.43989
670.133 13.1292 0.925645
683.118 -7.19791 0.514247
693.077 -13.8172 0.925645
698.043 -10.0918 1.54274
928.34 -11.6915 1.13134
952.367 6.91553 0.617097
983.279 -0.972218 0.925645
1039.03 2.01874 0.925645
1093.97 2.97297 0.719946
1390.09 12.8756 1.13134
1739.13 6.675 1.64559
1785.06 -2.50848 0.822796
