Time data sigma
---- ---- -----
0 4.3858 0.617097
4.0172 2.51589 0.822796
8.9611 -1.39517 0.822796
23.9521 -2.88281 1.13134
35.965 1.19447 0.822796
40.9613 2.80385 1.43989
257.193 -3.16044 1.23419
263.27 -6.32267 0.719946
291.109 4.73565 0.925645
318.101 -6.0586 0.719946
333.02 1.52304 1.13134
339.009 1.2887 0.617097
347.022 2.53308 1.23419
364.993 3.16105 0.617097
611.359 -0.245399 0.514247
646.153 2.87507 1.43989
670.133 -1.12833 0.925645
683.118 -6.28632 0.514247
693.077 0.514006 0.925645
698.043 -0.830592 1.54274
928.34 -2.65068 1.13134
952.367 3.29304 0.617097
983.279 -8.85138 0.925645
1039.03 -5.00923 0.925645
1093.97 -3.65029 0.719946
1390.09 0.483349 1.13134
1739.13 2.95967 1.64559
1785.06 5.28494 0.822796
