Time data sigma
---- ---- -----
0 4.274 0.617097
4.0172 8.38802 0.822796
8.9611 8.74268 0.822796
23.9521 0.629701 1.13134
35.965 -4.53175 0.822796
40.9613 -6.26502 1.43989
257.193 3.1681 1.23419
263.27 1.14222 0.719946
291.109 -3.37837 0.925645
318.101 5.10771 0.719946
333.02 0.129196 1.13134
339.009 -8.12603 0.617097
347.022 -9.14951 1.23419
364.993 7.64069 0.617097
611.359 6.44765 0.514247
646.153 -9.73843 1.43989
670.133 7.97321 0.925645
683.118 3.36717 0.514247
693.077 -4.30583 0.925645
698.043 -5.82934 1.54274
928.34 1.17622 1.13134
952.367 -6.11073 0.617097
983.279 2.4751 0.925645
1039.03 5.22126 0.925645
1093.97 6.82085 0.719946
1390.09 7.90294 1.13134
1739.13 4.93485 1.64559
1785.06 -7.3686 0.822796
