Time data sigma
---- ---- -----
0 -0.438413 1.07071
102.731 -0.105395 1.39658
363.991 -3.94732 0.931056
1446.97 -0.0531808 0.83795
1447.95 -1.09638 0.791397
1448.94 -0.679186 0.791397
1449.91 -2.17684 0.83795
1455.96 -5.44442 0.977609
1458.9 -3.24402 1.39658
1471.83 0.0160331 1.07071
1473.9 0.128731 0.83795
1475.86 1.65092 1.16382
1477.85 2.1978 1.07071
1478.95 -0.609343 0.791397
1504.82 2.21751 0.931056
1505.91 -0.436501 0.977609
1510.89 -5.75595 1.07071
1511.87 -1.93366 0.791397
1512.79 -1.92359 0.791397
1513.83 -2.28372 0.83795
1527.87 -4.43516 1.07071
1528.82 -1.19158 0.83795
1535.71 1.19336 0.931056
1539.76 0.659551 0.977609
1559.76 -0.411009 0.83795
1561.76 1.95243 0.931056
1817.96 -0.19948 0.931056
1818.99 -1.27493 1.07071
1820.98 -0.483603 0.977609
1821.97 -3.82275 0.83795
1825.93 -2.3057 0.977609
1826.93 -0.791673 0.931056
1828.94 -0.45622 1.11727
1842.89 1.92072 1.16382
1843.9 0.538037 1.16382
1850.82 3.14859 1.11727
1851.83 4.9618 1.02416
1852.86 1.63861 0.791397
1853.91 -0.532342 1.25693
1855.88 0.859394 0.977609
1856.83 2.00438 1.11727
1857.83 2.1205 1.16382
1863.86 1.15517 0.744845
1866.93 -0.389286 1.02416
1886.96 -1.32645 1.02416
1887.84 -2.40702 1.11727
1895.85 -0.469017 0.791397
1898.62 -0.63493 1.21037
1915.69 2.36856 0.791397
1916.78 1.10892 0.791397
1917.76 3.66246 0.791397
1918.78 1.66586 0.83795
1919.7 -1.22203 0.791397
1920.71 1.01331 1.11727
1926.76 -0.72561 0.884503
1927.74 -1.42764 0.884503
1944.64 -1.95499 1.16382
1947.64 -2.01548 1.07071
1948.66 -0.96523 0.791397
1956.68 -0.00382729 1.25693
1958.7 1.18709 0.791397
1987.69 -0.4707 1.44314
2001.66 -1.79364 0.884503
2008.66 2.27335 1.35003
2009.68 -2.44604 0.977609
2014.63 1.76209 1.02416
2018.63 2.41512 0.884503
