Time data sigma
---- ---- -----
0 2.83682 1.07071
102.731 0.853179 1.39658
363.991 0.388997 0.931056
1446.97 0.558474 0.83795
1447.95 0.427611 0.791397
1448.94 -4.16135 0.791397
1449.91 2.90211 0.83795
1455.96 0.353628 0.977609
1458.9 -2.68774 1.39658
1471.83 -2.29706 1.07071
1473.9 1.06858 0.83795
1475.86 -0.665581 1.16382
1477.85 1.36034 1.07071
1478.95 1.96492 0.791397
1504.82 3.03597 0.931056
1505.91 0.669705 0.977609
1510.89 1.65054 1.07071
1511.87 -3.39587 0.791397
1512.79 0.101725 0.791397
1513.83 -1.86232 0.83795
1527.87 -3.31383 1.07071
1528.82 1.35102 0.83795
1535.71 -0.453391 0.931056
1539.76 -0.137443 0.977609
1559.76 0.410481 0.83795
1561.76 -0.204873 0.931056
1817.96 -0.969635 0.931056
1818.99 -1.90867 1.07071
1820.98 0.0546842 0.977609
1821.97 -0.199891 0.83795
1825.93 -2.27364 0.977609
1826.93 -3.63046 0.931056
1828.94 -0.569379 1.11727
1842.89 2.12881 1.16382
1843.9 0.275642 1.16382
1850.82 1.23502 1.11727
1851.83 0.848999 1.02416
1852.86 -0.691376 0.791397
1853.91 1.71841 1.25693
1855.88 1.20192 0.977609
1856.83 3.35489 1.11727
1857.83 -0.98934 1.16382
1863.86 2.35719 0.744845
1866.93 0.159097 1.02416
1886.96 -3.04966 1.02416
1887.84 -1.14887 1.11727
1895.85 1.66317 0.791397
1898.62 -1.78339 1.21037
1915.69 1.45059 0.791397
1916.78 0.731655 0.791397
1917.76 1.25405 0.791397
1918.78 -0.0237716 0.83795
1919.7 -0.20913 0.791397
1920.71 2.23705 1.11727
1926.76 -0.100369 0.884503
1927.74 0.134711 0.884503
1944.64 -1.96143 1.16382
1947.64 -1.44461 1.07071
1948.66 -0.479855 0.791397
1956.68 -1.62967 1.25693
1958.7 2.59933 0.791397
1987.69 -0.912951 1.44314
2001.66 -0.122622 0.884503
2008.66 -2.65641 1.35003
2009.68 -3.41754 0.977609
2014.63 2.54025 1.02416
2018.63 -1.67499 0.884503
