Time data sigma
---- ---- -----
0 -6.65038 1.07071
102.731 5.71872 1.39658
363.991 -5.67886 0.931056
1446.97 -6.64459 0.83795
1447.95 -5.19627 0.791397
1448.94 -3.88271 0.791397
1449.91 -3.68196 0.83795
1455.96 -1.5498 0.977609
1458.9 -1.34714 1.39658
1471.83 2.26398 1.07071
1473.9 2.43234 0.83795
1475.86 6.03832 1.16382
1477.85 3.61366 1.07071
1478.95 4.29557 0.791397
1504.82 -4.78451 0.931056
1505.91 -4.92411 0.977609
1510.89 -3.01299 1.07071
1511.87 -4.2027 0.791397
1512.79 -1.66234 0.791397
1513.83 -3.6876 0.83795
1527.87 0.185662 1.07071
1528.82 1.95394 0.83795
1535.71 4.54713 0.931056
1539.76 6.02692 0.977609
1559.76 -4.49691 0.83795
1561.76 -6.89289 0.931056
1817.96 -4.35842 0.931056
1818.99 -0.994417 1.07071
1820.98 0.895874 0.977609
1821.97 1.29464 0.83795
1825.93 1.57497 0.977609
1826.93 3.03139 0.931056
1828.94 1.01199 1.11727
1842.89 3.16719 1.16382
1843.9 5.08471 1.16382
1850.82 3.21617 1.11727
1851.83 -0.335585 1.02416
1852.86 1.53947 0.791397
1853.91 0.0707156 1.25693
1855.88 -2.74658 0.977609
1856.83 -1.1547 1.11727
1857.83 -2.8041 1.16382
1863.86 -6.91527 0.744845
1866.93 -4.06332 1.02416
1886.96 2.19197 1.02416
1887.84 0.587416 1.11727
1895.85 5.11039 0.791397
1898.62 5.95342 1.21037
1915.69 -2.04575 0.791397
1916.78 -4.20136 0.791397
1917.76 -1.7903 0.791397
1918.78 -5.77547 0.83795
1919.7 -4.22921 0.791397
1920.71 -6.48725 1.11727
1926.76 -5.94129 0.884503
1927.74 -6.63713 0.884503
1944.64 2.42759 1.16382
1947.64 0.0814736 1.07071
1948.66 1.24518 0.791397
1956.68 4.03842 1.25693
1958.7 3.27174 0.791397
1987.69 -4.43493 1.44314
2001.66 0.58661 0.884503
2008.66 2.95944 1.35003
2009.68 2.97196 0.977609
2014.63 3.79626 1.02416
2018.63 4.83353 0.884503
