Time data sigma
---- ---- -----
0 -3.99974 0.617097
4.0172 -2.65557 0.822796
8.9611 0.60352 0.822796
23.9521 2.75817 1.13134
35.965 1.28268 0.822796
40.9613 0.698083 1.43989
257.193 4.15809 1.23419
263.27 5.59439 0.719946
291.109 -3.6116 0.925645
318.101 4.04307 0.719946
333.02 -0.447992 1.13134
339.009 1.26814 0.617097
347.022 -2.07891 1.23419
364.993 -3.36334 0.617097
611.359 2.24538 0.514247
646.153 -3.51856 1.43989
670.133 1.11998 0.925645
683.118 2.65963 0.514247
693.077 1.66531 0.925645
698.043 -0.221747 1.54274
928.34 2.97696 1.13134
952.367 -2.98683 0.617097
983.279 3.93583 0.925645
1039.03 4.5302 0.925645
1093.97 2.17151 0.719946
1390.09 -2.15234 1.13134
1739.13 -5.82071 1.64559
1785.06 1.99459 0.822796
