Time data sigma
---- ---- -----
0 6.19522 0.617097
4.0172 7.27582 0.822796
8.9611 9.41111 0.822796
23.9521 0.777967 1.13134
35.965 -4.81856 0.822796
40.9613 -6.02795 1.43989
257.193 5.60722 1.23419
263.27 1.12607 0.719946
291.109 -4.75645 0.925645
318.101 4.89002 0.719946
333.02 0.048598 1.13134
339.009 -7.53652 0.617097
347.022 -7.22574 1.23419
364.993 7.00279 0.617097
611.359 7.50971 0.514247
646.153 -9.13272 1.43989
670.133 7.45686 0.925645
683.118 1.50669 0.514247
693.077 -1.60395 0.925645
698.043 -7.44283 1.54274
928.34 0.191758 1.13134
952.367 -5.51742 0.617097
983.279 2.12145 0.925645
1039.03 2.97466 0.925645
1093.97 6.18463 0.719946
1390.09 6.89875 1.13134
1739.13 1.16583 1.64559
1785.06 -10.9258 0.822796
