Time data sigma
---- ---- -----
0 11.217 0.617097
4.0172 13.9677 0.822796
8.9611 14.1789 0.822796
23.9521 -13.045 1.13134
35.965 -14.136 0.822796
40.9613 -7.19198 1.43989
257.193 4.45034 1.23419
263.27 -8.09237 0.719946
291.109 6.13726 0.925645
318.101 4.90441 0.719946
333.02 -18.1096 1.13134
339.009 -10.9759 0.617097
347.022 3.07647 1.23419
364.993 13.5574 0.617097
611.359 12.3567 0.514247
646.153 -0.852778 1.43989
670.133 10.6406 0.925645
683.118 -9.78111 0.514247
693.077 -17.1387 0.925645
698.043 -9.08516 1.54274
928.34 -17.8924 1.13134
952.367 4.94817 0.617097
983.279 -11.0597 0.925645
1039.03 3.21435 0.925645
1093.97 10.0654 0.719946
1390.09 13.3486 1.13134
1739.13 10.8733 1.64559
1785.06 -2.63776 0.822796
