run_time	logZ	logZerr	log10Z	nlive	prec	harps_offset	harps_jitter	planet1_k1	planet1_period	planet1_ecc	planet1_omega	planet1_ma0
525.05184	-70.06212	 0.38866	-30.42759	175	 0.01000	 0.05649	 0.55773	 8.38199	60.07570	 0.25368	 4.33797	 4.80063
525.04826	-70.06212	 0.38866	-30.42759	175	 0.01000	 0.05649	 0.55773	 8.38199	60.07570	 0.25368	 4.33797	 4.80063
508.26428	-70.12064	 0.37760	-30.45301	175	 0.01000	 0.05699	 0.53392	 8.36994	60.07701	 0.25299	 4.35586	 4.79629
508.26863	-70.12064	 0.37760	-30.45301	175	 0.01000	 0.05699	 0.53392	 8.36994	60.07701	 0.25299	 4.35586	 4.79629
514.08170	-70.03493	 0.37496	-30.41578	175	 0.01000	 0.05099	 0.54929	 8.39700	60.07618	 0.25527	 4.36349	 4.79631
514.08012	-70.03493	 0.37496	-30.41578	175	 0.01000	 0.05099	 0.54929	 8.39700	60.07618	 0.25527	 4.36349	 4.79631
502.50730	-69.36482	 0.36920	-30.12476	175	 0.01000	 0.05089	 0.52815	 8.39813	60.07612	 0.25542	 4.36527	 4.80527
502.51710	-69.36482	 0.36920	-30.12476	175	 0.01000	 0.05089	 0.52815	 8.39813	60.07612	 0.25542	 4.36527	 4.80527
510.47397	-69.79975	 0.37730	-30.31365	175	 0.01000	 0.05712	 0.54491	 8.38240	60.07673	 0.25400	 4.35428	 4.79820
510.48131	-69.79975	 0.37730	-30.31365	175	 0.01000	 0.05712	 0.54491	 8.38240	60.07673	 0.25400	 4.35428	 4.79820
513.52796	-69.56621	 0.37389	-30.21222	175	 0.01000	 0.05582	 0.50060	 8.37942	60.07361	 0.25435	 4.35291	 4.79878
