run_time	logZ	logZerr	log10Z	nlive	prec	harps_offset	harps_jitter	planet1_k1	planet1_period	planet1_ecc	planet1_omega	planet1_ma0
511.01409	-92.58332	 0.39251	-40.20842	175	 0.01000	-0.01315	 1.27985	17.64343	60.03310	 0.31292	 3.76775	 5.94060
511.01284	-92.58332	 0.39251	-40.20842	175	 0.01000	-0.01315	 1.27985	17.64343	60.03310	 0.31292	 3.76775	 5.94060
521.04468	-92.80139	 0.38628	-40.30313	175	 0.01000	-0.04701	 1.28047	17.63890	60.03498	 0.31349	 3.71464	 0.26771
521.03619	-92.80139	 0.38628	-40.30313	175	 0.01000	-0.04701	 1.28047	17.63890	60.03498	 0.31349	 3.71464	 0.26771
552.65832	-93.67173	 0.39868	-40.68112	175	 0.01000	-0.00572	 1.31770	17.62571	60.03304	 0.31363	 3.75831	 5.54220
509.54491	-92.30686	 0.39885	-40.08836	175	 0.01000	-0.04262	 1.24240	17.64270	60.03458	 0.31324	 3.71180	 0.21701
509.54533	-92.30686	 0.39885	-40.08836	175	 0.01000	-0.04262	 1.24240	17.64270	60.03458	 0.31324	 3.71180	 0.21701
527.00171	-92.94889	 0.38413	-40.36719	175	 0.01000	-0.03457	 1.29761	17.65464	60.03467	 0.31364	 3.71242	 0.32039
527.00471	-92.94889	 0.38413	-40.36719	175	 0.01000	-0.03457	 1.29761	17.65464	60.03467	 0.31364	 3.71242	 0.32039
544.22146	-93.03488	 0.39032	-40.40454	175	 0.01000	-0.02227	 1.31899	17.62403	60.03386	 0.31303	 3.71787	 0.31150
544.23719	-93.03488	 0.39032	-40.40454	175	 0.01000	-0.02227	 1.31899	17.62403	60.03386	 0.31303	 3.71787	 0.31150
