run_time	logZ	logZerr	log10Z	nlive	prec
10.50485	-100.68993	 1.02849	-43.72908	21	 0.01000
10.92312	-98.15303	 1.10153	-42.62732	21	 0.01000
10.58667	-99.05448	 0.96149	-43.01881	21	 0.01000
11.30430	-99.84921	 0.97077	-43.36396	21	 0.01000
10.66975	-99.65862	 0.97093	-43.28119	21	 0.01000
11.77011	-100.01383	 1.25772	-43.43546	21	 0.01000
11.02380	-99.59339	 1.22476	-43.25286	21	 0.01000
14.55913	-96.89605	 0.95468	-42.08142	21	 0.01000
13.66470	-97.65796	 1.05237	-42.41231	21	 0.01000
11.16406	-100.08575	 0.97444	-43.46669	21	 0.01000
