run_time	logZ	logZerr	nlive	nreap	prec
 5.04058	-87.18678	 0.09275	400	3	 0.00100
 7.75961	-87.32940	 0.10455	400	3	 0.00100
 7.29590	-87.57310	 0.10060	400	3	 0.00100
14.40410	-87.39861	 0.09516	400	3	 0.00100
14.21059	-87.35277	 0.09616	400	3	 0.00100
 9.23229	-87.28391	 0.09761	400	3	 0.00100
16.73191	-87.48666	 0.10693	400	3	 0.00100
 6.71681	-87.51216	 0.09823	400	3	 0.00100
 7.63256	-87.38200	 0.09459	400	3	 0.00100
 6.62732	-87.31132	 0.09513	400	3	 0.00100
 9.07709	-87.31609	 0.09917	400	3	 0.00100
 5.08341	-87.51819	 0.10031	400	3	 0.00100
11.36778	-87.45475	 0.09875	400	3	 0.00100
 6.67890	-87.27983	 0.09936	400	3	 0.00100
 5.49937	-87.35069	 0.09742	400	3	 0.00100
 6.26932	-87.48552	 0.09577	400	3	 0.00100
 7.26725	-87.35155	 0.09584	400	3	 0.00100
 7.89388	-87.04994	 0.11122	400	3	 0.00100
 7.49637	-87.43200	 0.09925	400	3	 0.00100
 6.67439	-87.34991	 0.09889	400	3	 0.00100
10.88597	-87.29259	 0.09460	400	3	 0.00100
13.22164	-87.41908	 0.13857	400	3	 0.00100
 8.13031	-87.26916	 0.09555	400	3	 0.00100
 9.66610	-87.20505	 0.10216	400	3	 0.00100
11.36026	-87.33858	 0.09851	400	3	 0.00100
 6.48503	-87.29858	 0.12449	400	3	 0.00100
 6.42402	-87.18542	 0.09527	400	3	 0.00100
10.25741	-87.26794	 0.09748	400	3	 0.00100
 8.32339	-87.45212	 0.09935	400	3	 0.00100
10.34547	-87.39282	 0.09889	400	3	 0.00100
 9.93312	-87.22316	 0.09334	400	3	 0.00100
10.00911	-87.42266	 0.09737	400	3	 0.00100
 8.65449	-87.29030	 0.09363	400	3	 0.00100
 6.21999	-87.27527	 0.09315	400	3	 0.00100
 8.49569	-87.29066	 0.09252	400	3	 0.00100
 9.13473	-87.41394	 0.09652	400	3	 0.00100
 6.62908	-87.42571	 0.09592	400	3	 0.00100
 5.28733	-87.21464	 0.09692	400	3	 0.00100
 5.67211	-87.47751	 0.09560	400	3	 0.00100
 6.84126	-87.41859	 0.09402	400	3	 0.00100
 5.88208	-87.34213	 0.09872	400	3	 0.00100
 6.53676	-87.42353	 0.09426	400	3	 0.00100
 7.82542	-87.44928	 0.10019	400	3	 0.00100
 8.22692	-87.32501	 0.09125	400	3	 0.00100
 8.49293	-87.34675	 0.09430	400	3	 0.00100
 7.78097	-87.46323	 0.09673	400	3	 0.00100
12.18893	-87.43400	 0.09946	400	3	 0.00100
 8.32326	-87.11945	 0.08950	400	3	 0.00100
 7.23278	-87.25639	 0.10490	400	3	 0.00100
 6.17463	-87.25146	 0.09517	400	3	 0.00100
