Time data sigma col4 col5 col6
-------------------------------------
4730.5481 19.785 0.006 -0.003 2700 18.3
4734.5653 19.797 0.008 -0.008 2700 15.7
4739.5092 19.790 0.008 0.022 2700 16.1
4754.5002 19.811 0.011 0.021 3600 19.1
4766.5131 19.838 0.008 -0.001 3600 17.3
4771.5094 19.865 0.014 0.036 3100 10.6
4987.7410 19.802 0.012 0.021 3600 16.0
4993.8179 19.787 0.007 0.000 3600 22.8
5021.6567 19.798 0.009 0.028 3600 19.7
5048.6495 19.850 0.007 0.030 3600 21.8
5063.5679 19.856 0.011 -0.006 3600 16.5
5069.5573 19.849 0.006 0.008 3300 18.7
5077.5704 19.810 0.012 -0.002 3000 16.0
5095.5408 19.789 0.006 0.011 3600 19.7
5341.9076 19.856 0.005 0.002 3600 23.3
5376.7009 19.787 0.014 -0.016 3600 16.5
5400.6811 19.787 0.009 0.030 3600 20.3
5413.6660 19.800 0.005 0.006 3600 24.0
5423.6248 19.833 0.009 -0.026 3600 15.9
5428.5913 19.839 0.015 -0.048 3600 13.7
5658.8885 19.783 0.011 -0.017 3600 13.5
5682.9153 19.779 0.006 0.022 2400 20.9
5713.8266 19.855 0.009 0.026 3600 15.7
5769.5810 19.794 0.009 -0.005 3600 14.9
5824.5177 19.862 0.007 0.004 3600 19.4
6120.6337 19.838 0.011 0.003 3600 12.8
6469.6810 19.807 0.016 0.009 2700 13.9
6515.6036 19.802 0.008 0.006 3600 17.2
