Time data sigma col4 col5 col6
---- ---- ----- ---- ---- ----
4730.5481 19785.0 6.0 -0.003 2700 18.3
4734.5653 19797.0 8.0 -0.008 2700 15.7
4739.5092 19790.0 8.0 0.022000000000000002 2700 16.1
4754.5002 19811.0 11.000000000000002 0.021 3600 19.1
4766.5131 19838.0 8.0 -0.001 3600 17.3
4771.5094 19865.0 13.999999999999998 0.036000000000000004 3100 10.6
4987.741 19802.0 12.0 0.021 3600 16.0
4993.8179 19787.0 6.999999999999999 0.0 3600 22.8
5021.6567 19798.0 9.000000000000002 0.027999999999999997 3600 19.7
5048.6495 19850.0 6.999999999999999 0.03 3600 21.8
5063.5679 19855.999999999996 11.000000000000002 -0.006 3600 16.5
5069.5573 19849.0 6.0 0.008 3300 18.7
5077.5704 19810.0 12.0 -0.002 3000 16.0
5095.5408 19789.0 6.0 0.011000000000000001 3600 19.7
5341.9076 19855.999999999996 5.0 0.002 3600 23.3
5376.7009 19787.0 13.999999999999998 -0.016 3600 16.5
5400.6811 19787.0 9.000000000000002 0.03 3600 20.3
5413.666 19800.0 5.0 0.006 3600 24.0
5423.6248 19833.0 9.000000000000002 -0.026000000000000002 3600 15.9
5428.5913 19839.000000000004 15.0 -0.048 3600 13.7
5658.8885 19783.0 11.000000000000002 -0.017 3600 13.5
5682.9153 19779.0 6.0 0.022000000000000002 2400 20.9
5713.8266 19855.0 9.000000000000002 0.026000000000000002 3600 15.7
5769.581 19794.0 9.000000000000002 -0.005 3600 14.9
5824.5177 19862.000000000004 6.999999999999999 0.004 3600 19.4
6120.6337 19838.0 11.000000000000002 0.003 3600 12.8
6469.681 19807.000000000004 16.0 0.009000000000000001 2700 13.9
6515.6036 19802.0 8.0 0.006 3600 17.2
