run_time	logZ	logZerr	log10Z	nlive	prec	harps_offset	harps_jitter	planet1_k1	planet1_period	planet1_ecc	planet1_omega	planet1_ma0
163.01588	-176.76519	 0.30604	-76.76814	280	 0.01000	19814.73130	 3.15684	36.53142	95.26712	 0.20736	 0.99397	 1.87969
163.40120	-176.68801	 0.28855	-76.73463	280	 0.01000	19814.67488	 3.00681	36.67806	95.27934	 0.20740	 1.00891	 1.86313
168.59123	-176.24760	 0.28793	-76.54336	280	 0.01000	19814.71007	 2.90207	36.72991	95.27584	 0.20533	 1.21010	 1.90350
158.77627	-176.73928	 0.29638	-76.75690	280	 0.01000	19814.74978	 2.88786	36.60865	95.28715	 0.20463	 1.37848	 1.93486
141.46964	-176.20782	 0.29086	-76.52608	280	 0.01000	19814.72229	 3.05275	36.66108	95.27408	 0.20750	 0.84435	 1.83784
146.18916	-176.44408	 0.27822	-76.62869	280	 0.01000	19814.73582	 3.19723	36.61550	95.27816	 0.20893	 0.72391	 1.77531
157.78297	-176.34993	 0.29270	-76.58780	280	 0.01000	19814.62722	 2.98498	36.65520	95.27894	 0.20861	 0.81427	 1.83897
206.22120	-177.09839	 0.29648	-76.91285	280	 0.01000	19814.73084	 3.12612	36.53051	95.28035	 0.20604	 1.13469	 1.88942
248.04426	-176.64475	 0.28892	-76.71584	280	 0.01000	19814.64214	 3.09346	36.83625	95.28179	 0.20836	 1.03113	 1.88873
262.13288	-176.50520	 0.29071	-76.65523	280	 0.01000	19814.67713	 3.19522	36.62085	95.28471	 0.21080	 0.79808	 1.80955
