run_time	logZ	logZerr	log10Z	nlive	prec	harps_offset	harps_jitter	planet1_k1	planet1_period	planet1_omega	planet1_ma0	planet2_k1	planet2_period	planet2_omega	planet2_ma0
589.53243	-175.62904	 0.22876	-76.27472	400	 0.01000	19814.36986	 2.62777	35.63076	95.31590	 3.35985	 3.40268	 9.55544	47.42177	 3.22527	 3.24131
589.93230	-175.74457	 0.23028	-76.32490	400	 0.01000	19814.31107	 2.55154	35.57586	95.30930	 3.38173	 3.41177	 9.64565	47.41748	 3.00414	 3.02451
574.49973	-175.77165	 0.23099	-76.33666	400	 0.01000	19814.32183	 2.59838	35.53489	95.31322	 2.71800	 2.71171	 9.62028	47.41670	 3.00325	 3.03162
663.74270	-175.68101	 0.22929	-76.29729	400	 0.01000	19814.33974	 2.52057	35.53299	95.31946	 3.15991	 3.19046	 9.49236	47.42218	 3.19753	 3.14857
533.69944	-175.70995	 0.22972	-76.30986	400	 0.01000	19814.30662	 2.68062	35.53745	95.31261	 2.26204	 2.27139	 9.63746	47.42144	 3.06606	 3.09222
457.87866	-175.63494	 0.22844	-76.27729	400	 0.01000	19814.33641	 2.57423	35.62834	95.31716	 2.78436	 2.81191	 9.61382	47.42118	 3.00090	 2.98175
477.63166	-175.76798	 0.23031	-76.33506	400	 0.01000	19814.27746	 2.62349	35.53555	95.32167	 2.53989	 2.57801	 9.60434	47.42327	 3.14256	 3.16658
441.67194	-175.61445	 0.22829	-76.26839	400	 0.01000	19814.32768	 2.60074	35.55402	95.31716	 3.03050	 2.98505	 9.51772	47.41761	 3.09754	 3.08374
394.67572	-175.55356	 0.22865	-76.24194	400	 0.01000	19814.36610	 2.61155	35.64680	95.31065	 3.50277	 3.46630	 9.50281	47.41561	 3.05315	 3.03492
428.63466	-176.02267	 0.23082	-76.44567	400	 0.01000	19814.30060	 2.65545	35.60170	95.31798	 3.41358	 3.41994	 9.61128	47.42387	 2.99708	 3.03271
