run_time	logZ	logZerr	log10Z	nlive	prec	harps_offset	harps_jitter	planet1_k1	planet1_period	planet1_omega	planet1_ma0
129.09686	-178.78354	 0.25894	-77.64470	240	 0.01000	19814.90403	 3.35343	36.23004	95.34386	 2.98508	 3.06510
155.93050	-178.96159	 0.26329	-77.72203	240	 0.01000	19814.84946	 3.54261	36.23293	95.34488	 3.32127	 3.24774
144.26340	-179.39396	 0.26543	-77.90981	240	 0.01000	19814.84280	 3.90632	36.05584	95.34675	 2.82802	 2.77165
164.90989	-178.88825	 0.26796	-77.69018	240	 0.01000	19814.81559	 3.43668	36.29386	95.34083	 2.13985	 2.16130
146.84403	-178.98591	 0.26268	-77.73259	240	 0.01000	19814.81040	 3.53622	36.18133	95.34806	 3.24462	 3.20486
159.12060	-178.87735	 0.26284	-77.68544	240	 0.01000	19814.79940	 3.46554	36.23037	95.34444	 2.42113	 2.42530
147.41414	-178.73488	 0.26031	-77.62357	240	 0.01000	19814.84921	 3.45433	36.35318	95.34705	 3.15367	 3.09492
134.73096	-179.33763	 0.26460	-77.88534	240	 0.01000	19814.84836	 3.66968	36.10000	95.35136	 2.98622	 3.06068
161.63974	-179.24041	 0.26643	-77.84312	240	 0.01000	19814.84920	 3.80479	36.14900	95.35009	 1.96219	 1.96146
244.57780	-179.02605	 0.26334	-77.75003	240	 0.01000	19814.89715	 3.55593	36.01802	95.34067	 3.09816	 3.19949
