id	run_time	logZ	logZerr	ndims	nlive	nreap	prec
0425_213217	507.86552	-875.66336	 0.31996		275		 0.01000
0426_123413	370.17584	-875.44918	 0.31822		275		 0.01000
0426_135601	480.37730	-875.15743	 0.31679		275		 0.01000
0426_135513	536.97755	-875.68933	 0.32003		275		 0.01000
0426_135651	480.56580	-874.96528	 0.31560		275		 0.01000
0426_135634	518.36503	-875.98522	 0.32222		275		 0.01000
0426_135740	505.43050	-875.05699	 0.31712		275		 0.01000
0426_135809	497.43139	-874.95575	 0.31772		275		 0.01000
0426_135941	561.56043	-875.47481	 0.31817		275		 0.01000
0426_140103	525.89465	-875.04269	 0.31692		275		 0.01000
0426_140245	508.98978	-875.56501	 0.31996		275		 0.01000
0426_140407	505.78117	-875.62297	 0.32104		275		 0.01000
0426	559.56454	-875.63853	 0.31845		275		 0.01000
0426	566.58192	-874.90590	 0.31520		275		 0.01000
0426	535.48648	-875.71776	 0.32026		275		 0.01000
0426_8438	514.68423	-875.47603	 0.31911	11.00000	275	33.00000	 0.01000
