id	run_time	logZ	logZerr	ndims	nlive	nreap	prec
0427_9960	1083.184	-717.688	0.381	12	300	36	0.010
0427_8478	1248.604	-703.675	0.588	12	300	36	0.010
0427_4652	1492.104	-704.180	0.395	12	300	36	0.010
0427_1168	1151.697	-702.250	0.358	12	300	36	0.010
0427_9704	2034.746	-707.278	0.462	12	300	36	0.010
0427_3936	1473.513	-704.653	0.433	12	300	36	0.010
0427_3769	1219.406	-721.692	0.364	12	300	36	0.010
0427_5959	1733.508	-706.052	0.531	12	300	36	0.010
0427_0460	1239.612	-721.437	0.365	12	300	36	0.010
0427_6797	2007.513	-704.965	0.538	12	300	36	0.010
